Ngày,T?ng,13,12,11,10,9,8,7,6,5,4,3,2,1,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,Ngày
/,(l?n),/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
Tháng,,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,Tháng
0,32,,,,,,,,1,1,,,2,1,1,2,,1,1,,,1,2,,3,,,1,2,,,2,,,1,,2,,,,1,2,1,1,,,,,,,,,1,,1,,,,,,1,0
1,31,1,,1,,,2,,1,1,,,1,1,1,1,,,,,,2,3,,3,,,,,1,,,,1,,1,,,,,,,1,1,1,,1,,,1,,,,,,1,2,1,,1,,1
2,18,,,,,1,,1,,1,1,,,,,,,1,1,,,,,,,,,,,,,,,2,,2,1,,,1,,1,1,,,,2,,,,1,,,,,,1,,,,,2
3,17,1,,,,,,,,,1,,,,,2,,,,1,,,,,,,,1,1,,,,,1,,,,,2,,1,,,,,1,,1,,1,,,,,,1,,,1,1,,3
4,20,,,,,,,1,,,,1,,,2,,,1,1,,,,,,1,1,,,1,,,,,,2,,1,,1,,,,,1,,1,,,,1,,,1,,,,,1,,2,,4
5,24,,,,,,,,1,1,,,1,,,,1,,,1,1,1,1,,1,,,,1,,,,1,,1,1,1,,,,2,,2,1,,,1,,1,,1,,,,,,1,,,1,,5
6,28,,1,2,,,2,1,,2,,,1,,,,,2,1,,,1,,,,1,,,,,1,1,,,1,,,,1,,,,1,1,,,1,,1,,1,,,,1,,,1,1,1,1,6
7,21,1,1,,,,,,,,,,,1,,1,1,1,1,1,2,,,,,,,,1,,,2,,,,,,1,1,,,,,,,,,,,1,1,2,,,,,,,,1,1,7
8,31,,,,,,,,,,,,1,,3,2,,,,1,,1,,,,2,,,,2,1,2,,,1,1,,1,2,,2,,1,,,,1,,,,2,,,1,,1,1,,,1,1,8
9,22,1,,,,,,,2,,,,,,2,,,1,,1,,,,1,1,,,2,,,1,,,,1,,,1,,,1,,1,2,,,,,,,,,,,,,,2,1,,1,9
10,26,,1,,,,1,,,,2,1,,,,,1,,1,,2,2,1,,,,,,,,1,,,1,,1,,,1,,2,1,,1,1,2,,,,,,,1,,,,1,,,,1,10
11,26,,,2,,,,,,2,1,,1,,,,,,,,1,,,1,,,,1,1,,1,1,1,1,1,,1,,1,,1,,,1,1,,,1,1,,,,,,,,,2,1,,1,11
12,21,,2,1,,1,,2,1,,1,,,,,,,,,,,2,,,1,1,1,,,1,,1,,,,,,,,,,,,,1,1,,,,1,1,,,,1,,,,1,,,12
13,23,,2,,,,,,,,1,,,,,1,,1,,,3,1,,1,,,1,,,1,,,1,,,1,,1,,,,,,3,,1,,,,2,,,1,,1,,,,,,,13
14,23,,,,,,,,1,2,2,,,,1,,,1,,,,,,,,1,,,1,,,2,1,,,,,1,1,1,,,,1,,1,,,1,1,,,1,,,,1,,1,,1,14
15,25,3,,1,,,,,,,,1,,1,1,1,1,1,,,1,,1,,1,,,,2,,,,1,,,1,,,,,,,1,,,,1,1,1,,1,,1,,,,1,,,1,,15
16,26,,,,1,1,,2,,,1,,,,1,,,,,1,,,,,2,1,1,1,1,,,1,,1,,2,1,1,1,,,,,,,,,1,,2,,,,,,,,1,,1,1,16
17,33,2,1,,,2,,,,,,,,,,,,,,,1,1,1,,,,2,1,,1,,1,2,,,,2,2,2,,,,1,3,,1,,,1,1,1,1,,,,1,1,1,,,,17
18,19,1,1,,,,1,,1,,2,,,,,3,,,2,,,,,,,,,,,,,,,,,,,1,,,,,,1,,1,,,,,,1,,,,2,1,,,1,,18
19,24,,,1,,,,1,,2,1,,,,1,,,,,,,,,,,,,,1,,1,,,,1,1,,1,,2,,1,,1,1,1,,,1,1,,2,,,,,,1,1,,1,19
20,22,,2,,,,,2,1,,,1,1,,1,1,,,,,,,,,,1,,2,,,,,,1,,1,,,,1,,1,,,,,,,,,,1,1,,,1,1,1,1,,,20
21,24,,1,,,,,1,1,,,1,,2,,,1,1,1,,1,1,,,,,1,,,,,,,,1,,1,,,,,,,1,,,1,1,,1,,,1,,1,1,,1,2,,,21
22,18,,,,,,,1,,,1,1,,,,1,1,,,1,1,1,1,,,1,,,,,,,,2,,,,1,,,,,,1,,,1,,,,,,1,,,,,1,,1,,22
23,26,,1,,1,,,1,,1,,1,,,1,1,,,,,,,,,1,,,,2,,,,,,1,1,1,,,,,1,1,,,,1,,,2,1,1,,2,,,1,,,2,1,23
24,32,1,,1,,,,,1,1,,1,,,3,1,1,,,,1,1,1,,,,,,,,,,,,,1,,,,1,1,2,2,,,,1,2,,,,2,,1,2,1,1,1,,1,,24
25,36,1,,2,3,,,,,,,1,,,1,3,1,1,1,,,1,1,1,,1,,1,1,,,1,,,,1,1,1,1,,,,1,1,,2,,,,1,,,1,1,1,,1,1,,1,,25
26,25,1,1,,1,1,1,,,,,1,,,2,,,,1,,,,,1,1,,,,,2,,,1,1,,,,,1,,,,,1,,,,,1,1,,,1,2,,,,,,1,2,26
27,31,2,1,,1,,1,2,2,,2,,,,,,,,1,,,2,1,1,2,,,,,,,,,,5,,,1,,,,1,,,1,,,,,,,,,3,,,1,,,1,,27
28,31,1,,1,,1,,1,,,,1,1,,,,2,1,,,1,,2,1,,,,1,1,,,1,,,1,,2,1,1,,,,2,,,2,,1,,1,,,,1,2,,,,,,1,28
29,23,,,1,,1,1,,,,2,,1,1,,,,,,,,1,,,,,,,1,1,2,,1,,,2,,2,,1,,,,,,1,,1,,,,,,,1,,,,,1,1,29
30,28,,,,,,,1,,,1,,,,1,,,2,,1,,,,,,1,1,,1,1,,1,,1,,1,1,,1,,,,2,1,,,,2,1,1,1,,,,1,1,,2,,1,,30
31,20,,,2,1,1,,,1,,1,1,,1,,,,,1,,1,,,,,2,1,,1,,,,1,,,,,1,,,,,1,,,,,,,,,,,1,,,1,,,1,,31
32,25,,,,,,1,,,1,,,1,1,,2,,,,,,,,,,,2,1,,3,,,,1,,,,1,,,,,,1,,1,1,,1,1,,1,1,2,,,,1,1,,,32
